"order_id","address_line_1","city","state_province","postal_code","country"
4096,"342 TechMarkt Street",Berlin,Berlin,"10115",Germany
4097,"359 TechMarkt Street",Munich,Bavaria,"80331",Germany
4098,"376 TechMarkt Street",Hamburg,Hamburg,"20095",Germany
4099,"393 TechMarkt Street",London,England,SW1A 1AA,United Kingdom
4100,"410 TechMarkt Street",Paris,Île-de-France,"75001",France
4101,"427 TechMarkt Street",Amsterdam,North Holland,"1012",Netherlands
4102,"444 TechMarkt Street",Vienna,Vienna,"1010",Austria
4103,"461 TechMarkt Street",New York,New York,"10001",United States
4104,"478 TechMarkt Street",Berlin,Berlin,"10115",Germany
4105,"495 TechMarkt Street",Munich,Bavaria,"80331",Germany
4106,"512 TechMarkt Street",Hamburg,Hamburg,"20095",Germany
4107,"529 TechMarkt Street",London,England,SW1A 1AA,United Kingdom
4108,"546 TechMarkt Street",Paris,Île-de-France,"75001",France
4109,"563 TechMarkt Street",Amsterdam,North Holland,"1012",Netherlands
4110,"580 TechMarkt Street",Vienna,Vienna,"1010",Austria
4111,"597 TechMarkt Street",New York,New York,"10001",United States
4112,"614 TechMarkt Street",Berlin,Berlin,"10115",Germany
4113,"631 TechMarkt Street",Munich,Bavaria,"80331",Germany
4114,"648 TechMarkt Street",Hamburg,Hamburg,"20095",Germany
4115,"665 TechMarkt Street",London,England,SW1A 1AA,United Kingdom
4116,"682 TechMarkt Street",Paris,Île-de-France,"75001",France
4117,"699 TechMarkt Street",Amsterdam,North Holland,"1012",Netherlands
4118,"716 TechMarkt Street",Vienna,Vienna,"1010",Austria
4119,"733 TechMarkt Street",New York,New York,"10001",United States
4120,"750 TechMarkt Street",Berlin,Berlin,"10115",Germany
4121,"767 TechMarkt Street",Munich,Bavaria,"80331",Germany
4122,"784 TechMarkt Street",Hamburg,Hamburg,"20095",Germany
4123,"801 TechMarkt Street",London,England,SW1A 1AA,United Kingdom
4124,"818 TechMarkt Street",Paris,Île-de-France,"75001",France
4125,"835 TechMarkt Street",Amsterdam,North Holland,"1012",Netherlands
4126,"852 TechMarkt Street",Vienna,Vienna,"1010",Austria
4127,"869 TechMarkt Street",New York,New York,"10001",United States
4128,"886 TechMarkt Street",Berlin,Berlin,"10115",Germany
4129,"903 TechMarkt Street",Munich,Bavaria,"80331",Germany
4130,"920 TechMarkt Street",Hamburg,Hamburg,"20095",Germany
4131,"937 TechMarkt Street",London,England,SW1A 1AA,United Kingdom
4132,"954 TechMarkt Street",Paris,Île-de-France,"75001",France
4133,"971 TechMarkt Street",Amsterdam,North Holland,"1012",Netherlands
4134,"988 TechMarkt Street",Vienna,Vienna,"1010",Austria
4135,"15 TechMarkt Street",New York,New York,"10001",United States
4136,"32 TechMarkt Street",Berlin,Berlin,"10115",Germany
4137,"49 TechMarkt Street",Munich,Bavaria,"80331",Germany
4138,"66 TechMarkt Street",Hamburg,Hamburg,"20095",Germany
