"customer_id","first_name","last_name","email","phone","gender","created_at"
1,Thomas,Reed,customer1091@example.com,+1-555-1091,M,"2025-09-24 00:00:00"
2,Thomas,Jones,customer91@example.com,+1-555-0091,M,"2023-07-17 00:00:00"
3,Amelia,Reed,customer1092@example.com,+1-555-1092,F,"2025-10-11 00:00:00"
4,Amelia,Jones,customer92@example.com,+1-555-0092,F,"2023-08-03 00:00:00"
5,Benjamin,Reed,customer1093@example.com,+1-555-1093,M,"2025-10-28 00:00:00"
6,Benjamin,Jones,customer93@example.com,+1-555-0093,M,"2023-08-20 00:00:00"
7,Isabella,Reed,customer1094@example.com,+1-555-1094,F,"2025-11-14 00:00:00"
8,Isabella,Jones,customer94@example.com,+1-555-0094,F,"2023-09-06 00:00:00"
9,Henry,Reed,customer1095@example.com,+1-555-1095,M,"2025-12-01 00:00:00"
10,Henry,Jones,customer95@example.com,+1-555-0095,M,"2023-09-23 00:00:00"
11,Emily,Reed,customer1096@example.com,+1-555-1096,F,"2025-12-18 00:00:00"
12,Emily,Jones,customer96@example.com,+1-555-0096,F,"2023-10-10 00:00:00"
13,Lucas,Reed,customer1097@example.com,+1-555-1097,M,"2026-01-04 00:00:00"
14,Lucas,Jones,customer97@example.com,+1-555-0097,M,"2023-10-27 00:00:00"
15,Ella,Reed,customer1098@example.com,+1-555-1098,F,"2026-01-21 00:00:00"
16,Ella,Jones,customer98@example.com,+1-555-0098,F,"2023-11-13 00:00:00"
17,Jack,Reed,customer1099@example.com,+1-555-1099,M,"2026-02-07 00:00:00"
18,Jack,Jones,customer99@example.com,+1-555-0099,M,"2023-11-30 00:00:00"
19,Grace,Reed,customer1100@example.com,+1-555-1100,Other,"2026-02-24 00:00:00"
20,Grace,Jones,customer100@example.com,+1-555-0100,Other,"2023-12-17 00:00:00"
21,James,Reed,customer1081@example.com,+1-555-1081,M,"2025-04-07 00:00:00"
22,James,Jones,customer81@example.com,+1-555-0081,M,"2023-01-28 00:00:00"
23,Emma,Reed,customer1082@example.com,+1-555-1082,F,"2025-04-24 00:00:00"
24,Emma,Jones,customer82@example.com,+1-555-0082,F,"2023-02-14 00:00:00"
25,Michael,Reed,customer1083@example.com,+1-555-1083,M,"2025-05-11 00:00:00"
26,Michael,Jones,customer83@example.com,+1-555-0083,M,"2023-03-03 00:00:00"
27,Olivia,Reed,customer1084@example.com,+1-555-1084,F,"2025-05-28 00:00:00"
28,Olivia,Jones,customer84@example.com,+1-555-0084,F,"2023-03-20 00:00:00"
29,Daniel,Reed,customer1085@example.com,+1-555-1085,M,"2025-06-14 00:00:00"
30,Daniel,Jones,customer85@example.com,+1-555-0085,M,"2023-04-06 00:00:00"
31,Sophia,Reed,customer1086@example.com,+1-555-1086,F,"2025-07-01 00:00:00"
32,Sophia,Jones,customer86@example.com,+1-555-0086,F,"2023-04-23 00:00:00"
33,Alexander,Reed,customer1087@example.com,+1-555-1087,M,"2025-07-18 00:00:00"
34,Alexander,Jones,customer87@example.com,+1-555-0087,M,"2023-05-10 00:00:00"
35,Mia,Reed,customer1088@example.com,+1-555-1088,F,"2025-08-04 00:00:00"
36,Mia,Jones,customer88@example.com,+1-555-0088,F,"2023-05-27 00:00:00"
37,William,Reed,customer1089@example.com,+1-555-1089,M,"2025-08-21 00:00:00"
38,William,Jones,customer89@example.com,+1-555-0089,M,"2023-06-13 00:00:00"
39,Charlotte,Reed,customer1090@example.com,+1-555-1090,Other,"2025-09-07 00:00:00"
40,Charlotte,Jones,customer90@example.com,+1-555-0090,Other,"2023-06-30 00:00:00"
41,Thomas,Cooper,customer1071@example.com,+1-555-1071,M,"2024-10-19 00:00:00"
42,Thomas,Brown,customer71@example.com,+1-555-0071,M,"2026-04-22 00:00:00"
43,Amelia,Cooper,customer1072@example.com,+1-555-1072,F,"2024-11-05 00:00:00"
44,Amelia,Brown,customer72@example.com,+1-555-0072,F,"2026-05-09 00:00:00"
45,Benjamin,Cooper,customer1073@example.com,+1-555-1073,M,"2024-11-22 00:00:00"
46,Benjamin,Brown,customer73@example.com,+1-555-0073,M,"2026-05-26 00:00:00"
47,Isabella,Cooper,customer1074@example.com,+1-555-1074,F,"2024-12-09 00:00:00"
48,Isabella,Brown,customer74@example.com,+1-555-0074,F,"2026-06-12 00:00:00"
49,Henry,Cooper,customer1075@example.com,+1-555-1075,M,"2024-12-26 00:00:00"
